dataset,K,lambda,stability,stability_se,avg_metric,std_metric,is_classification
synthetic,2,0.0,4.446420863238431,0.08928552478651693,25.001584815979005,0.32489212644116855,False
synthetic,2,0.005,4.44447144394197,0.09063164596058254,25.008921178181968,0.32459854145437383,False
synthetic,2,0.01,4.445058268968627,0.09091140324619544,25.013995424906412,0.32490847066613004,False
synthetic,2,0.02,4.43994653446208,0.0907481141129332,25.020231183369955,0.3261694771179211,False
synthetic,2,0.05,4.426444668048161,0.08934860598934893,25.04444980621338,0.3210284752014251,False
synthetic,2,0.1,4.406079877450545,0.0894203803473754,25.080827649434408,0.3227988590644875,False
synthetic,2,0.2,4.366183525516445,0.08689811622748081,25.159356117248535,0.3265587877071206,False
synthetic,2,0.5,4.257410880929584,0.07987410143841708,25.4293696085612,0.3319657851357094,False
synthetic,2,1.0,4.100132516719805,0.07266785895975168,25.952423540751138,0.3433678862695611,False
synthetic,3,0.0,3.626635084038078,0.07002738879776987,24.85701872507731,0.29397006691454475,False
synthetic,3,0.005,3.620445415640097,0.06944807761134907,24.86826559702555,0.2922831461435237,False
synthetic,3,0.01,3.618592749359587,0.06939099560956567,24.871004931132,0.2926292135119773,False
synthetic,3,0.02,3.6132881123245646,0.06912898430827084,24.879621760050455,0.2910822937816651,False
synthetic,3,0.05,3.601390379394453,0.06854323508031293,24.910075759887697,0.29639855129326936,False
synthetic,3,0.1,3.5816357310009237,0.06809542894165696,24.96479174296061,0.29780576499390793,False
synthetic,3,0.2,3.5431185420460776,0.06606306155370688,25.08036931355794,0.3047991673545984,False
synthetic,3,0.5,3.44125480188713,0.06391974319447337,25.466188176472983,0.32816720506230607,False
synthetic,3,1.0,3.3011419516766662,0.06188593791289278,26.208533159891765,0.3579489212344926,False
synthetic,5,0.0,2.900200731630906,0.06254525139974595,24.681104342142742,0.28413101961799936,False
synthetic,5,0.005,2.898865537064032,0.06284445148814335,24.687489954630532,0.2834713711654624,False
synthetic,5,0.01,2.898118322848883,0.06263011883500709,24.69454174041748,0.28475928840009584,False
synthetic,5,0.02,2.8927357158708777,0.06234944319321688,24.705654525756835,0.2858664479731086,False
synthetic,5,0.05,2.8809712637170266,0.06161883209553882,24.74425849914551,0.2876871043518231,False
synthetic,5,0.1,2.8570947779288596,0.059990997967350586,24.811794408162434,0.2894059708076319,False
synthetic,5,0.2,2.817061645607889,0.05826915389036453,24.950905990600585,0.29771405269776724,False
synthetic,5,0.5,2.7006668644816108,0.05289955073730068,25.420444297790528,0.3109020881046267,False
synthetic,5,1.0,2.5661628410302746,0.04950238190633286,26.327467282613117,0.33891950493426204,False
synthetic,7,0.0,2.602263485058057,0.06477649553276378,24.645510864257812,0.2661868170257023,False
synthetic,7,0.005,2.6008339168112395,0.0654445872548248,24.65175552368164,0.2653649284659615,False
synthetic,7,0.01,2.5972267656292223,0.06483054018769799,24.65761884053548,0.2659066513412497,False
synthetic,7,0.02,2.592535446939952,0.06445290127011662,24.671617380777995,0.2667225923620362,False
synthetic,7,0.05,2.578700145955133,0.06395625141730908,24.71312224070231,0.26884549455186807,False
synthetic,7,0.1,2.557060516124673,0.0633996742163829,24.784129524230956,0.2706868296183992,False
synthetic,7,0.2,2.515761282884069,0.061431548525853794,24.933363405863442,0.2752348573724112,False
synthetic,7,0.5,2.392945403889034,0.05684489116541175,25.438065338134766,0.2837341301824701,False
synthetic,7,1.0,2.241676405232014,0.05234607723345221,26.418415705362957,0.3019241591432393,False
synthetic,10,0.0,2.141823648817301,0.051192533051628096,24.604259618123372,0.19037265955040206,False
synthetic,10,0.005,2.1396921171659735,0.050680136163798586,24.612251472473144,0.19014882617979112,False
synthetic,10,0.01,2.1360551825406775,0.050921078520569436,24.61854813893636,0.18982935764678058,False
synthetic,10,0.02,2.1329001384238038,0.050754413467302494,24.63310292561849,0.19183523710024822,False
synthetic,10,0.05,2.1226044784370695,0.0506430351679127,24.67874355316162,0.19422256787856382,False
synthetic,10,0.1,2.105217120646,0.05076801323685142,24.757131004333495,0.19771017482609904,False
synthetic,10,0.2,2.0713595064046584,0.04993875591745568,24.91967856089274,0.20458138285201444,False
synthetic,10,0.5,1.978991979284933,0.047890380967452094,25.466494750976562,0.22667188071882735,False
synthetic,10,1.0,1.8629039326386643,0.04612186521076313,26.512082672119142,0.2535567269181967,False
california,2,0.0,0.07527106667879349,0.0035459716895874746,0.5711292326450348,0.003857533008160933,False
california,2,0.005,0.0742591258699919,0.00346797309651963,0.5712208827336629,0.003666061218230964,False
california,2,0.01,0.07402136870238565,0.003446821319323648,0.5709315617879231,0.003636674163678619,False
california,2,0.02,0.0736413094502723,0.0033161274829829677,0.5709064801534017,0.0038723450989401956,False
california,2,0.05,0.07362577128957587,0.003329044659538719,0.5711650470892589,0.00368715683040136,False
california,2,0.1,0.07365623109300976,0.0033877842826770433,0.5713716665903728,0.003910790426248153,False
california,2,0.2,0.0731202318193814,0.003342212302997921,0.57201313773791,0.003931961859780209,False
california,2,0.5,0.0719283552486644,0.0032166207776628407,0.573745055993398,0.0036710888763038354,False
california,2,1.0,0.06924310702359292,0.0030922197359429236,0.5763613144556682,0.003400611279381135,False
california,3,0.0,0.06563373320235365,0.002057721680974434,0.5703496853510539,0.0029424843463918457,False
california,3,0.005,0.06641705859800831,0.0022119595277395494,0.5701833188533783,0.0030383725972092618,False
california,3,0.01,0.06522376122617883,0.0020528727334852307,0.5702028830846151,0.0029357968596011095,False
california,3,0.02,0.0654143237110218,0.0021945740104212324,0.570273756980896,0.0027935729061063464,False
california,3,0.05,0.06591624858165897,0.002181408856475291,0.5704192360242207,0.0028195679502436804,False
california,3,0.1,0.06487611126843745,0.0019572420359019057,0.5709583044052124,0.003046413927289562,False
california,3,0.2,0.06372920158686018,0.00196813609008132,0.5714986483256023,0.0029962668657532608,False
california,3,0.5,0.06138723297947551,0.0018724237918746455,0.5739406128724416,0.0031472114350578136,False
california,3,1.0,0.05861742812794548,0.001855065665916733,0.5778489728768667,0.003225129949395271,False
california,5,0.0,0.06293184132267393,0.004405394106725509,0.5691983044147492,0.003951801724819537,False
california,5,0.005,0.06332293406171623,0.0043754166018398774,0.5692985832691193,0.004068789630750054,False
california,5,0.01,0.06328323708463837,0.004445434845678646,0.5692625482877095,0.003815383474491793,False
california,5,0.02,0.0630679809182343,0.0045317159420289535,0.5693458656469981,0.00392907057522258,False
california,5,0.05,0.063248407707131,0.004500108728103853,0.5695735077063243,0.004022717543855873,False
california,5,0.1,0.06315379243280284,0.004368605683239112,0.5699652830759684,0.003946179109436878,False
california,5,0.2,0.06340352037447454,0.004523833556932387,0.5710416118303935,0.0038840823030117703,False
california,5,0.5,0.06189822714975811,0.004809637683369667,0.573612505197525,0.0040275603932945075,False
california,5,1.0,0.059476504960828375,0.004434236334010402,0.5782185117403666,0.003963578944948782,False
california,7,0.0,0.05297886720883482,0.0032109516116884287,0.5679721772670746,0.0018867495626381408,False
california,7,0.005,0.05257609021570084,0.00312767926431242,0.5679161071777343,0.001820562387039451,False
california,7,0.01,0.05303675223848213,0.003295169395820005,0.5681068499883016,0.0019780276631739353,False
california,7,0.02,0.052591633995518784,0.0031292394625387675,0.5681777695814768,0.002012314370251101,False
california,7,0.05,0.05282158836555424,0.00325656967628219,0.5684125065803528,0.0019495071282549356,False
california,7,0.1,0.05232459036128048,0.0032563778426156647,0.5688743233680725,0.0018791611650842157,False
california,7,0.2,0.05073430110178818,0.002995880110960368,0.5696396013100942,0.0018498669431176332,False
california,7,0.5,0.048657325997181616,0.002892892149583857,0.5722237726052603,0.002072830044166315,False
california,7,1.0,0.045582183962840826,0.002694920880927442,0.5770165205001831,0.002022820505649734,False
california,10,0.0,0.050329535348045275,0.0029148842220324597,0.5680830836296081,0.0018957596122891904,False
california,10,0.005,0.04997793386857869,0.002849300388460161,0.568076221148173,0.0019432844673989767,False
california,10,0.01,0.049643140006751144,0.002930996134020024,0.5680259724458059,0.0019491010332627593,False
california,10,0.02,0.04954167650392187,0.0027623976537545026,0.568118953704834,0.0018610811679919913,False
california,10,0.05,0.04964967286803726,0.002930465376816446,0.5684625049432118,0.001852562424714432,False
california,10,0.1,0.04923465061307328,0.0026976309328055727,0.5690041840076446,0.0019407362292581485,False
california,10,0.2,0.047627806578626045,0.0026081756541673174,0.5696742912133534,0.0017409575820162132,False
california,10,0.5,0.04624520348633576,0.0026053381175672363,0.5726327160994212,0.0017623953351630847,False
california,10,1.0,0.043639804598738265,0.002426773024601724,0.5777082085609436,0.0020420414576348325,False
adult,2,0.0,0.16639551007173461,0.011710541909717579,0.8255671123663585,0.0007448911848241316,True
adult,2,0.005,0.16763699837867643,0.011947506265300873,0.8254934132099152,0.0006647537683644322,True
adult,2,0.01,0.167219592739784,0.011900264609235578,0.8255616545677185,0.0007641281024574572,True
adult,2,0.02,0.16761459673957596,0.011794278193900207,0.8255780299504598,0.0007188402651959622,True
adult,2,0.05,0.16654169655008966,0.01178226052058785,0.8256107886632283,0.000731784767566343,True
adult,2,0.1,0.1673814909269669,0.011558953630117073,0.8255534668763479,0.0006479738537244214,True
adult,2,0.2,0.16694131712153876,0.011990338466926358,0.8256353557109832,0.0007376754461548233,True
adult,2,0.5,0.16638636425458336,0.012085506477664066,0.825618976354599,0.0006093553457781404,True
adult,2,1.0,0.16667230541902853,0.012332279306650219,0.8255671163400015,0.000612101458123451,True
adult,3,0.0,0.1485797614463703,0.010269351028988837,0.8255889554818471,0.0005460681649737118,True
adult,3,0.005,0.14865335655844733,0.010272702421485,0.8255998690923055,0.0006068228872690513,True
adult,3,0.01,0.14916836102507225,0.010400302525048108,0.82549067735672,0.0005802058877498948,True
adult,3,0.02,0.1487951925591783,0.010211724210515357,0.8256053328514099,0.0005889256684114729,True
adult,3,0.05,0.14842441149780147,0.01036195689136222,0.8255370855331421,0.0005572300809984081,True
adult,3,0.1,0.1484717781241452,0.010345788385647809,0.8255916873613993,0.0005408099929973033,True
adult,3,0.2,0.14962254732674424,0.010258193618673143,0.8255261659622193,0.0005553275119777639,True
adult,3,0.5,0.14776926458780873,0.01040017635499751,0.8255070606867473,0.0005782793221204353,True
adult,3,1.0,0.14653188570746634,0.010253335495726842,0.825542543331782,0.0005614937242513019,True
adult,5,0.0,0.10639820018713556,0.007376891298445197,0.8255070547262827,0.00045983505629165555,True
adult,5,0.005,0.10674823738983605,0.007389892848670912,0.8256107886632283,0.0004843654371516457,True
adult,5,0.01,0.10682108809017216,0.007442186536503633,0.8255916814009349,0.000520589475098312,True
adult,5,0.02,0.10688907968346191,0.007528925831438122,0.8255370855331421,0.00043100238818872985,True
adult,5,0.05,0.10685406083086073,0.007556703285091159,0.8255725741386414,0.00047278269817105427,True
adult,5,0.1,0.10635042335826604,0.0075299490017029565,0.8254770278930664,0.0004145394813364325,True
adult,5,0.2,0.10559526555400993,0.007310408472307211,0.8255370835463206,0.0004902168688290629,True
adult,5,0.5,0.10602506308124224,0.007475778171482865,0.8254770318667094,0.00043249126764236245,True
adult,5,1.0,0.10533567704862634,0.00751052843787216,0.8254306236902873,0.0004204255160971023,True
adult,7,0.0,0.0945392063433892,0.006646474754912814,0.8256189823150635,0.0004178351520461806,True
adult,7,0.005,0.0950180171206865,0.006552328428747854,0.8255480051040649,0.00038683081424878315,True
adult,7,0.01,0.09441360411968709,0.00667183966127925,0.8255698422590891,0.0003890173310179417,True
adult,7,0.02,0.09403258689229198,0.006666177436977366,0.825618976354599,0.00045077401344723067,True
adult,7,0.05,0.09399018217396515,0.00658172874681678,0.8255862255891164,0.00043111003227804976,True
adult,7,0.1,0.09468569316336128,0.006648554087498235,0.8255834917227427,0.00042626601897090575,True
adult,7,0.2,0.09457416171276668,0.0066557942447097625,0.8254715700944265,0.00044358062412261167,True
adult,7,0.5,0.09426141366035443,0.006678882376683282,0.8254770338535309,0.000403062459260021,True
adult,7,1.0,0.09524056013987327,0.006826869798514149,0.8254060566425323,0.00042788570969705506,True
adult,10,0.0,0.08946846763767477,0.0054683556503520095,0.8256490071614583,0.0005248025217768293,True
adult,10,0.005,0.0891240620333014,0.005431940909432423,0.8256817579269409,0.0005446979891197571,True
adult,10,0.01,0.09014253070646479,0.005571293981287115,0.8256681164105734,0.0005356320190595506,True
adult,10,0.02,0.08947354733252999,0.005556537717627255,0.8256735722223918,0.000502226302681169,True
adult,10,0.05,0.08920528736189771,0.0054692812208908936,0.825676300128301,0.000565926409036777,True
adult,10,0.1,0.08938561123931736,0.0055675816567685305,0.8256462732950847,0.0005125073070904833,True
adult,10,0.2,0.0892938338785638,0.0055192844828476605,0.8255971411863963,0.0005532038951125453,True
adult,10,0.5,0.08927396277595871,0.005439571347040678,0.8255507290363312,0.000520266064987691,True
adult,10,1.0,0.08927640909003205,0.005591303128599331,0.8255316237608592,0.00042954644433158856,True
german,2,0.0,0.08171099921881685,0.0051954847792864516,0.6873333394527436,0.005068410113800617,True
german,2,0.005,0.08170254734070005,0.005199155579761394,0.6873333394527436,0.005068410113800617,True
german,2,0.01,0.08170193464528586,0.005198211887504137,0.6873333394527436,0.005068410113800617,True
german,2,0.02,0.08168821191386291,0.005194832636970176,0.6874666730562846,0.004814780212403277,True
german,2,0.05,0.08168131405265766,0.00519075969110753,0.6873333394527436,0.004853394595712073,True
german,2,0.1,0.08168739104190702,0.005188399140424,0.6873333394527436,0.004853394595712073,True
german,2,0.2,0.08168779292816608,0.005192563286459714,0.6873333394527436,0.00496206711882072,True
german,2,0.5,0.08167405071630053,0.005192675210500818,0.6876000026861827,0.005301560352206257,True
german,2,1.0,0.08171943027876927,0.005198806446714572,0.6876000026861827,0.00499064575908826,True
german,3,0.0,0.0628621924143719,0.0034497508304706394,0.6873333434263865,0.004141917676416461,True
german,3,0.005,0.06286332577501315,0.003449371082461538,0.6873333434263865,0.004141917676416461,True
german,3,0.01,0.06286511466542634,0.0034494511053340038,0.6872000098228455,0.004182494232646583,True
german,3,0.02,0.0628584514384608,0.003450040957365049,0.6872000098228455,0.004182494232646583,True
german,3,0.05,0.06285831438858112,0.00344997277796757,0.6872000098228455,0.004182494232646583,True
german,3,0.1,0.06284152907497488,0.003446603426640835,0.6870666762193044,0.004218468712028837,True
german,3,0.2,0.06279627048242274,0.00344644112525583,0.6872000058492025,0.004052969869590424,True
german,3,0.5,0.062784478843166,0.0034413038387992524,0.6868000050385793,0.004150490475260077,True
german,3,1.0,0.06272202781176639,0.0034318053808369176,0.6864000121752422,0.003517569398684953,True
german,5,0.0,0.053166896151045036,0.004161856508683048,0.687333341439565,0.0038758402197702005,True
german,5,0.005,0.053168466085712,0.004161051104452015,0.687333341439565,0.0038758402197702005,True
german,5,0.01,0.05315661926914972,0.0041597091223962495,0.687333341439565,0.0038758402197702005,True
german,5,0.02,0.05315469637595733,0.004160646200196949,0.687333341439565,0.0038758402197702005,True
german,5,0.05,0.053159943651610524,0.004161760284380023,0.6869333426157633,0.003855145362702212,True
german,5,0.1,0.053132102645778716,0.0041618241594991385,0.6866666754086812,0.003910090511192875,True
german,5,0.2,0.05308999580803312,0.004162067523556557,0.6864000101884206,0.003517566235652416,True
german,5,0.5,0.05297528314177805,0.004139892203490282,0.68613334496816,0.0033836137552437995,True
german,5,1.0,0.05287338188118522,0.00415960613812606,0.6857333421707154,0.003957544844451989,True
german,7,0.0,0.043081744591788866,0.0028603340590925464,0.6868000109990438,0.0032903810165407586,True
german,7,0.005,0.043076993869124454,0.0028590430203376815,0.6868000109990438,0.0032903810165407586,True
german,7,0.01,0.04307515883654458,0.002857639754761865,0.6868000109990438,0.0032903810165407586,True
german,7,0.02,0.04306758681125921,0.0028539225531703967,0.6866666773955027,0.003319963995750072,True
german,7,0.05,0.04305398814985401,0.00285334387176253,0.6865333457787831,0.0031804889034586247,True
german,7,0.1,0.04305249690212862,0.002854875220125534,0.6865333457787831,0.0031804889034586247,True
german,7,0.2,0.043010336626874854,0.002850174125593038,0.6866666793823242,0.0031552355119396094,True
german,7,0.5,0.042954148445047434,0.0028468909036247943,0.6862666765848796,0.0033757203427228414,True
german,7,1.0,0.04290839719704574,0.002857068913988858,0.6848000129063924,0.0033306637590111237,True
german,10,0.0,0.036154540720112115,0.0019376615601421376,0.6856000085671743,0.003946298176466345,True
german,10,0.005,0.03615377597712827,0.0019381602734808503,0.6856000085671743,0.003946298176466345,True
german,10,0.01,0.03615238651848092,0.0019379565141427104,0.6856000085671743,0.003946298176466345,True
german,10,0.02,0.03614959777984032,0.0019382848780233656,0.6856000085671743,0.003946298176466345,True
german,10,0.05,0.036158752151645726,0.0019388836956411122,0.6856000085671743,0.003946298176466345,True
german,10,0.1,0.03615973088505797,0.001941098140416997,0.6854666749636332,0.004063925773146308,True
german,10,0.2,0.03614066979318491,0.0019384720934530564,0.6854666769504547,0.003930502214826,True
german,10,0.5,0.03611023300493528,0.0019415533917962746,0.6852000117301941,0.0038850113830286746,True
german,10,1.0,0.036036873081320156,0.0019404186156885322,0.6849333465099334,0.0036781636127808065,True
